Ano;Região;UF;Estado;Organização Acadêmica;Instituicao;Instituição (Nome);nomeCurso;tipoCurso;tipoEixoTecnologico;SubeixoTecnologico;tipoOferta;turnoCurso;ModalidadeEnsino;nomeFonteFinanciamento;Número de cursos;Número de concluintes;Número de ingressantes;Número de inscritos;Número de Matrículas;Número de vagas;Matrícula Equivalente Apresentada Geral
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Música;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;Não se aplica;Noturno;Educação Presencial;Sem Programa Associado;4;;75;187;269;120;297,78
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Músico de Banda;Qualificação Profissional (FIC);Produção Cultural e Design;Arte e Cultura;Concomitante;Vespertino;Educação Presencial;Sem Programa Associado;1;;27;27;27;30;5,94
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Músico de Banda;Qualificação Profissional (FIC);Produção Cultural e Design;Arte e Cultura;Não se aplica;Matutino;Educação Presencial;Sem Programa Associado;1;2;27;60;27;30;5,94
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Músico de Banda;Qualificação Profissional (FIC);Produção Cultural e Design;Arte e Cultura;Não se aplica;Não se aplica;Educação a Distância;Sem Programa Associado;2;17;238;323;238;256;40,12
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Músico de Banda;Qualificação Profissional (FIC);Produção Cultural e Design;Arte e Cultura;Não se aplica;Vespertino;Educação Presencial;Sem Programa Associado;1;1;13;30;13;15;2,86
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Nutrição;Bacharelado;Ambiente e Saúde;Saúde;Não se aplica;Vespertino;Educação Presencial;Sem Programa Associado;1;26;91;1433;220;91;275,22
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Pedagogia;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;Não se aplica;Noturno;Educação Presencial;Sem Programa Associado;1;;;;68;;72,35
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Pescador Profissional Especializado­Pep;Qualificação Profissional (FIC);Recursos Naturais;Pesca;Não se aplica;Integral;Educação Presencial;Sem Programa Associado;1;;16;16;16;30;8,25
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Processos Ambientais;Tecnologia;Controle e Processos Industriais;Controle e Processos Industriais;Não se aplica;Matutino;Educação Presencial;Sem Programa Associado;1;1;;;1;;1,23
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Processos Escolares;Qualificação Profissional (FIC);Desenvolvimento Educacional e Social;Desenvolvimento Educacional;Não se aplica;Não se aplica;Educação a Distância;Sem Programa Associado;1;;;;95;;4,75
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Processos Químicos;Tecnologia;Produção Industrial;Química;Não se aplica;Matutino;Educação Presencial;Sem Programa Associado;1;7;59;417;112;71;112
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Processos Químicos;Tecnologia;Produção Industrial;Química;Não se aplica;Noturno;Educação Presencial;Sem Programa Associado;1;4;;;143;;143
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Programador de Sistemas;Qualificação Profissional (FIC);Informação e Comunicação;Informática;Não se aplica;Não se aplica;Educação a Distância;Sem Programa Associado;1;2;36;46;36;40;3,96
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Programador de Sistemas;Qualificação Profissional (FIC);Informação e Comunicação;Informática;Não se aplica;Noturno;Educação Presencial;Sem Programa Associado;1;2;;;11;;0,61
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Programador Web;Qualificação Profissional (FIC);Informação e Comunicação;Informática;Não se aplica;Não se aplica;Educação a Distância;Sem Programa Associado;1;5;;;30;;1,65
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Qualificação Profissional - Ambiente e Saúde;Qualificação Profissional (FIC);Ambiente e Saúde;Ambiente e Saúde;Concomitante;Não se aplica;Educação a Distância;Sem Programa Associado;1;22;562;606;562;566;48,46
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Qualificação Profissional - Ambiente e Saúde;Qualificação Profissional (FIC);Ambiente e Saúde;Ambiente e Saúde;Não se aplica;Matutino;Educação Presencial;Sem Programa Associado;1;12;30;30;30;31;4,13
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Qualificação Profissional - Ambiente e Saúde;Qualificação Profissional (FIC);Ambiente e Saúde;Ambiente e Saúde;Não se aplica;Não se aplica;Educação a Distância;Sem Programa Associado;6;38;445;588;495;489;48,4
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Qualificação Profissional - Ambiente e Saúde;Qualificação Profissional (FIC);Ambiente e Saúde;Ambiente e Saúde;Não se aplica;Noturno;Educação Presencial;Sem Programa Associado;2;10;;;44;;3,03
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Qualificação Profissional - Controle e Processos Industriais;Qualificação Profissional (FIC);Controle e Processos Industriais;Controle e Processos Industriais;Concomitante;Não se aplica;Educação a Distância;Sem Programa Associado;1;3;;;40;;2,2
